area,Manager,Name of employee,last name,email,team-work,honesty,customer service,productivity,Description,Total,Final Review,Action
MARKETING,Juan V.,Artur,Smith,,2,3,3,4,"Good worker, loyal. need following",12,Good,
MARKETING,Juan V.,Juan,Jonhson,,2,2,4,3,Keep working in their performance,11,Medium,
SALES,Caitlin B.,Maryan,Tari,,3,2,2,3,last warning. Individual plan,10,Low,
ACCOUNTING,Mary A.,Ann,Lu,,4,3,3,2,"honest, effective  Need promotion",12,Good,
SALES,Caitlin B.,Kirsten,Williams,,2,3,4,3,"Good worker, loyal. need following",12,Good,
OPERATIONS,Kevin M.,Luis,Brown,,2,2,3,4,Keep working in their interpersonal skills,11,Medium,
HR,Susana E.,James,Jones,,2,2,2,3,family problems. Individual plan,9,Low,
HR,Susana E.,Dave,Miller,,4,3,3,2,"Good worker, loyal. need reward",12,Good,
IT,Bret G.,Cynthia,Davis,,3,2,2,4,Keep working in their aptitud,11,Medium,
IT,Bret G.,Lorelai,Wilson,,4,2,2,3,Keep working in her times,11,Medium,
ACCOUNTING,Mary A.,Jimy,Anderson,,2,3,4,2,Keep working in their skills,11,Medium,
OPERATIONS,Kevin M.,Artur,Harris,,3,2,3,4,"Good employee, needs raise",12,Good,
OPERATIONS,Kevin M.,Eduard,Garcia,,2,2,2,2,ADA. Leave for sickness. Need following,8,Low,
OPERATIONS,Kevin M.,Cole,Lewis,,2,3,3,2,Keep working in their competences,10,Medium,
SALES,Caitlin B.,Carol,Lee,,3,3,4,3,"excelent, trusty. performance increase",13,Good,
SALES,Caitlin B.,Alex,Walker,,2,2,2,4,Keep working in their skills,10,Medium,
IT,Bret G.,Alexandra,Lethon,,3,3,3,2,Keep working in their aptitud,11,Medium,
IT,Bret G.,July,White,,4,4,4,3,"kind, proactive. need following",15,Good,
OPERATIONS,Kevin M.,Brent,Allen,,4,2,3,3,"excelent, trusty. performance increase",12,Good,
